size_bytes	price	ver	sup_devices.num	ipadSc_urls.num	lang.num	is_popular	is_small	is_for_free	is_multilingual	len_of_name	len_of_desc	there_is_a_discount	is_short_name	cont_rating_17+	cont_rating_4+	cont_rating_9+	prime_genre_Education	prime_genre_Entertainment	prime_genre_Finance	prime_genre_Food & Drink	prime_genre_Games	prime_genre_Health & Fitness	prime_genre_Lifestyle	prime_genre_Music	prime_genre_News	prime_genre_Photo & Video	prime_genre_Productivity	prime_genre_Reference	prime_genre_Shopping	prime_genre_Social Networking	prime_genre_Sports	prime_genre_Travel	prime_genre_Utilities	prime_genre_Weather	prime_genre_another
18.99457437380345	0.0	110	38	5	1	1	1	1	0	14	332	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18.272422017428	0.0	124	24	5	2	1	0	1	0	27	2099	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16.879837163598935	1.095273387402595	20	37	0	2	0	1	0	0	40	2016	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
18.98567450747514	0.0	10	40	5	1	0	1	1	0	19	666	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18.380754358671066	1.3837912309017721	31	37	5	7	1	0	0	0	37	2557	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
19.78359478561098	0.0	103	37	5	1	0	1	1	0	21	935	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19.828627004253807	0.0	401	37	5	1	0	0	1	0	7	523	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17.301645019526372	1.7900914121273581	314	37	5	1	0	1	0	0	38	2741	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
18.891695068523465	0.0	100	38	5	1	0	1	1	0	17	440	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17.88110223960271	0.0	270	37	5	1	1	0	1	0	28	2518	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
18.342010118709734	1.095273387402595	10	37	5	1	1	1	0	0	18	989	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18.447911099600848	1.095273387402595	121	37	4	8	1	0	0	0	8	2163	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18.665282281112237	0.0	11	37	0	0	0	1	1	0	15	80	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17.58823694373785	0.0	101	38	3	2	0	1	1	0	12	764	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18.305227164255474	0.0	49	24	5	14	1	0	1	1	47	2525	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
19.165354156517786	1.944480556245719	105	37	5	1	0	1	0	0	7	337	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18.552354420841045	1.3837912309017721	268	37	5	1	0	1	0	0	23	1366	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17.918999334135393	0.0	142	40	5	11	1	0	1	1	17	1134	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18.654893184458462	0.0	230	37	5	17	1	0	1	1	38	2834	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
18.187309075831042	1.3837912309017721	395	38	0	21	1	0	0	1	38	3344	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
16.762818732838685	1.095273387402595	281	38	3	3	1	1	0	0	34	1002	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
18.27386989983978	1.7900914121273581	511	24	5	11	0	0	0	1	21	3931	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18.462738055154688	0.0	612	37	5	1	0	1	1	0	4	823	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
17.099475190034894	0.0	4110	37	5	2	0	0	1	0	35	1534	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
18.504023756546587	0.0	496	37	5	6	1	0	1	0	29	1934	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
17.742975973251013	0.0	30	38	0	1	0	1	1	0	21	591	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
19.922853681730622	0.688134638736401	10	38	5	1	1	1	0	0	5	444	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18.41531856312278	0.0	110	37	5	13	1	0	1	1	45	1787	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
18.362742441372355	1.095273387402595	114	38	5	11	1	0	0	1	3	500	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19.33276578429112	0.0	201	37	4	1	1	1	1	0	16	652	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18.29530545116284	0.0	121	37	5	3	1	1	1	0	47	3741	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
