temp	atemp	hum	windspeed(mph)	windspeed(ms)	cnt	season_2	season_3	season_4	yr_1	mnth_10	mnth_11	mnth_12	mnth_2	mnth_3	mnth_4	mnth_5	mnth_6	mnth_7	mnth_8	mnth_9	holiday_1	weekday_1	weekday_2	weekday_3	weekday_4	weekday_5	weekday_6	workingday_1	weathersit_2	weathersit_3	temp_sq	atemp_sq	hum_sq	windspeed(mph)_sq	windspeed(ms)_sq	super_nice_day	pca_1	pca_2	pca_3
14.110847	18.18125	80.5833	10.749882000000001	4.80549038891	985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	199.116003057409	330.55785156249993	6493.668238889999	115.55996301392403	23.092737877906384	False	2341.3306253263154	-444.3864510589599	-20.437744112816343
14.902598000000001	17.68695	69.6087	16.652113	7.443948591860001	801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	222.08742714960403	312.82820030249997	4845.37111569	277.292867364769	55.41237063825449	False	690.5701158822205	-420.286948995681	3.943353744826224
8.050924	9.47025	43.7273	16.636703	7.43705990165	1349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	64.817377253776	89.6856350625	1912.07676529	276.77988671020904	55.3098599807303	False	-2247.1565752791644	-631.4582834801056	17.066036783384124
8.2	10.6061	59.0435	10.739832	4.80099776486	1562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	67.24	112.48935721	3486.13489225	115.343991388224	23.049579538190716	False	-670.212554564579	-634.2572362174035	9.22518339973004
9.305237	11.4635	43.6957	12.5223	5.5978095663800005	1600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	86.587435626169	131.41183225	1909.31419849	156.80799728999997	31.33547194145545	False	-2246.7840292088513	-577.4314695033441	10.004778492470912
8.378267999999998	11.66045	51.8261	6.0008684	2.6825518104599997	1606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	70.19537467982397	135.96609420250002	2685.9446412099996	36.01042155411856	7.196084215802222	False	-1468.2691377294818	-592.3011207645822	-2.7421223505685948
8.057402	10.44195	49.8696	11.304642	5.05348323648	1510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	64.921726989604	109.03431980250001	2486.97700416	127.79493074816399	25.537692821384375	False	-1669.3664167536951	-618.481666794153	8.207737894735565
6.765	8.1127	53.5833	17.875868	7.991000447030001	959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	45.765224999999994	65.81590129	2871.1700388900003	319.54665675342403	63.85608814443368	False	-1289.747326236002	-684.656502350911	17.488760001063408
5.671653	5.80875	43.4167	24.25065	10.840701832799999	822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.167647752409	33.7415765625	1885.0098388899999	588.0940254225001	117.52081622767325	False	-2281.230700471586	-715.2599528225248	21.28833611967297
6.184153	7.5444	48.2917	14.958889000000001	6.6870312919099995	1321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	38.243748327409	56.91797136000001	2332.08828889	223.76836011432104	44.716387498983515	False	-1827.1232719407992	-678.8492355855984	18.15206751656801
6.9327309999999995	9.5732	68.6364	8.182844000000001	3.6579544032199998	1263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	48.062759118360994	91.64615824	4710.955404959999	66.95893592833602	13.380630416036585	False	554.5489886302647	-684.7253018069632	9.500694291383567
